name,price,location,link,Description,Property Address,Condition,Furnishing,Attribute_1,Attribute_2,Attribute_3,Estate Name,Property Size,Subtype,Service Charge Fee,Service Charge Covers,Agency Fee,Legal and Agreement Fee,Caution Fee,Total Fee,Pets,New Property,Total Rooms,Parking Space,Broker Fee,Furnished,Housing Quality,Smoking,Parties
"4bdrm Townhouse / Terrace in Chevron, Lekki for rent", 5500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-chevron-lekki-for-rent-oJ9u27pwtqm0rWe0JycNXJbl.html?page=20&pos=15&cur_pos=15&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=422,"Property to let at Chevron
An elegant and Fully furnished 4-bedroom Terrace house for rent in an high brow area. Well located and secured.
Located at Chevron Alternative route
Rent - 5.5million
Legal - 10%
Agency- 10%
Caution- 300,000
Total- N6,400,000
Mbadiwe U.",Chevron alternative route,Fairly Used,Semi-Furnished,Townhouse / Terrace,4 bedrooms,4 bathrooms,Chevron,"600
     
      sqm",Detached,,,10,10,300000,300020,,,,,,,,,
Luxury 5 Bedroom Semidetached Duplex Around Chevron for Rent, 4500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/luxury-5-bedroom-semidetached-duplex-around-chevron-for-rent-n0Hi2P6be9X9TNdvoo6jJoNg.html?page=20&pos=18&cur_pos=18&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=425,"Luxury 5 Bedroom semiditached duplex for rent around chevron Lekki.
its exceptional properties include.
- classic Living room
- Luminated step
- beautiful bedrooms

14mi12",Chevron,,Unfurnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,,,,,,
4bdrm Duplex in Ikota Estate for Rent, 4000000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-estate-for-rent-fpwWl4kMOMqNw5tkm4KPouIq.html?page=21&pos=1&cur_pos=1&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=428,"4 Bedroom Terrace Duplex in Ikota Estate 
Pay and parking apartment Good Road Network 
 Serene and Secured Environment
 Constant water and power supply 24hrs Power supply Pre paid meter 
One Year rent Required Enough Parking Space contact backup property consult today for any of the following service. inspection of this property, management of our properties, sales and rents of properties anywhere, building construction, renovation/rebranding of properties, structural and architectural designs valuation of properties, 	 Office; - 1 tijani ashogbon street ilaje akoka lagos or 3 shogunle street abule onigbago behind etiebert place ikeja.",ikota,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,Ikota estate,"600
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Victoria Island Extension for rent, 10000000,"Victoria Island, Victoria Island Extension",https://jiji.ng/victoria-island-extension/houses-apartments-for-rent/4bdrm-duplex-in-victoria-island-extension-for-rent-s1QYBcTTaDXShIRers27VR9u.html?page=21&pos=3&cur_pos=3&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=430,This property is spacious 4 bedroom in oniru,Oniru,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,"500
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Apartment in Banana Island for rent, 25000000,"Ikoyi, Banana Island",https://jiji.ng/banana-island/houses-apartments-for-rent/4bdrm-apartment-in-banana-island-for-rent-964gL9LUSi8KPJVAZa48pm5K.html?page=21&pos=6&cur_pos=6&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=433,"FOR RENT!!
4Bedroom Apartment With Bq
Location: Banana Island Road,Ikoyi,Lagos 
RENT : 25 Million Niara
Agency: 10%
Legal : 10%
Caution : 2million 
Service charge/Power deposit: 5m/annum
 Features:
- 24hrs Power
- All Rooms Ensuite
- Fitted Kitchen
- Fully Furnished 
- Pop Ceiling
- Water Heater
- Gym
 - Swimming Pool
- Elevator 
- Water Treatment 
- Walking Shower
- 24 Hours Security","Banana Island, Ikoyi, Lagos State.",Newly-Built,Semi-Furnished,Apartment,4 bedrooms,4 bathrooms,,"900
     
      sqm",,5000000,"Services charge, and power charge.",2500000,2500000,2000000,7000000,,,,,,,,,
4bdrm Duplex in Lekki Conservation for rent, 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-conservation-for-rent-Bstlq76ehjDQjv5y8wO2hSU.html?page=21&pos=9&cur_pos=9&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=436,"TO LET:* 
4bedroom semi detached house with BQ at Lekki conservation 
Rent: 
Agency: 
Legal: 
Caution 
SC: 
 
Features 
- Fitted kitchen with cabinets
- 4-8 car park space 
- Children play area
- Club house 
- Gym house 
- 24/7 water supply and security 
- All rooms en-suite 
- Spacious living room and bedrooms 
- Proximity to the major road
- Prepaid electricity meter
- Well interlocked compound 
 house 
- Well secured environmen",Lekki Conservation,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,Lekki Conservation,"350
     
      sqm",,,,,,,,,,,,,,,,
"4bdrm Duplex in Ikota, Lekki for rent", 4500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-ikota-lekki-for-rent-37S87RazTjQ9TCU5z4eCLvib.html?page=21&pos=12&cur_pos=12&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=439,"Newly built 4Bedrooms Semi-Detached Duplex with Bq inside a very secured estate with excellent facilities immediately after chevron second toll gate. 
Annual rent 4.5M
Legal 450k
Agency 450k 
caution 450k",immediately after chevron second toll gate,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,Ikota,"1000
     
      sqm",,,,,,,,,,,,,,,,
Furnished 4bdrm Duplex in Lekki for rent, 12000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/furnished-4bdrm-duplex-in-lekki-for-rent-irKEWXNvzm24DgOIQhuO7w46.html?page=21&pos=15&cur_pos=15&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=442,"For rent! 
4 bedroom fully furnished detached duplex
 location: ikota gra ,lekki lagos 
agency 10%
legal 10%
caution 10%
 property features:
- [x] fully self serviced
- [x] interlocked floor
- [x] 24 hours security
- [x] water heater
- [x] secure environment
- [x] full fitted kitchen
- [x] walk in shower
- [x] balcony",Ikota GRA,Newly-Built,Furnished,Duplex,4 bedrooms,5 bathrooms,,"500
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Lekki for rent, 12000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-1nJD2n7M2QZbaRqoJFsFB8eK.html?page=21&pos=18&cur_pos=18&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=445,"Luxurious 4 bedroom semi detached duplex with one room bq within a beautiful estate off admiralty way, lekki phase 1.
High class Neighbours and Neighbourhood
Swimming Pool
Gym
Clean water
24 hours security
Large play area for children and adult
Large back space for gardening",Lekki phase 1,,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,,,,,,
4bdrm Duplex in Victoria Island for rent, 15000000,Victoria Island,https://jiji.ng/victoria-island/houses-apartments-for-rent/4bdrm-duplex-in-victoria-island-for-rent-BXgHdvDJcW4RfvQdH35xmZTT.html?page=22&pos=1&cur_pos=1&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=448,"TO LET
4BEDROOM Semi Detached Duplex with 2Shops 
NOTE:
Both for residential and Commercial use 
Location: Oniru
Rent - 15M
Agency fee: 10%
Legal fee: 10%
Refundable Caution fee: 10%",oniru,Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,"500
     
      sqm",,,,,,,,,,,,,,,,
3bdrm Duplex in Lekki County for rent, 4000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/3bdrm-duplex-in-lekki-county-for-rent-aYKaYsNpZ0sqxWMmadua1GBN.html?page=22&pos=5&cur_pos=5&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=452,"3bedroom duplex for rent at Megamound, Lekki county, ikota",Ikota,Renovated,Unfurnished,Duplex,3 bedrooms,3 bathrooms,Lekki county,"600
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Lekki for rent, 8000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-iUZtbbIwUyu71atXsv90INoo.html?page=22&pos=8&cur_pos=8&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=455,"FOR RENT! 
Lovely 4 Bedroom Terrace Duplex
Location- Ikate, Lekki
Rent -N8,000,000million per annum
Service Charge  per annum
Diesel Deposit  (pay as you go)
Caution - 10%
Agency - 10% 
Legal - 10%
Property Features: 
- [x] Room ensuite 
- [x] Visitors toilet 
- [x] Fitted Kitchen
- [x] Very Secured Estate 
- [x] 24hrs Security
- [x] 24hrs Electricity
- [x] Ample Parking Space 
- [x] Wardrobe 
- [x] Kitchen cabinet
- [x] Gym",Ikate,Fairly Used,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,"500
     
      sqm",,1300000,,10,10,10,30,,,,,,,,,
"4bdrm Townhouse / Terrace in Macdonald, Ikoyi for Rent", 15000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-macdonald-ikoyi-for-rent-86tbU7rZL7r19b2OLZowHzf2.html?page=22&pos=11&cur_pos=11&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=458,"Tolet 
Newly built 4 bedroom terrace duplex with bq,children play ground, roof top sit out, swimming pool, gym and 24hr power supply on Macdonald road, Ikoyi
Rent:N15m/annum
Service charge:N2.5m/annum
Diesel Deposit:900k","Macdonald road, Ikoyi",Newly-Built,Semi-Furnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,Macdonald,"300
     
      sqm",,,,,,,,,,,,,,,,
"4bdrm Townhouse / Terrace in Ikate, Lekki for rent", 9000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-ikate-lekki-for-rent-paLQnLUERSHbFswO8vj5KKHt.html?page=22&pos=14&cur_pos=14&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=461,"TO LET !! || 4BED TERRACE DUPLEX ||  IKATE LEKKI 
4 Bedroom Terrace Duplex for Rent
Location :  ikate , Lekki, Lagos
Other charges:
Agency: 
Legal:
Caution: 
Service Charge: 
Total: 
Rent-luxury",Ikate,Newly-Built,Unfurnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,Ikate,"300
     
      sqm",Semi-Detached,1200000,,900000,900000,900000,2700000,,,,,,,,,
4bdrm Townhouse / Terrace in Ikota for Rent, 4000000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-ikota-for-rent-u5pnVMPSBLaiPzKX4YrkvLYE.html?page=22&pos=17&cur_pos=17&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=464,"TO LET
4 Bedroom Terrace Duplex For Rent.
— 
DETAILS > 
Ikota Lagos 
4M
Agency-10%
Caution 10%
Legal 10%
Service charge-50k monthly
Total=5,250k.
FEATURE DETAILS > 
* Brand New
* All Rooms Ensuite
* Fitted Kitchen
* Dstv
* Shower
* 24 Hours Security
* 24 Hours Electricity","Ikota Lekki, Lagos",Newly-Built,Unfurnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,,"1000
     
      sqm",Semi-Detached,50000,50k monthly,400000,400000,400000,,,,,,,,,,
5bdrm Duplex in Lekki Phase 2 for rent, 4500000,"Lekki, Lekki Phase 2",https://jiji.ng/lekki-phase-2/houses-apartments-for-rent/5bdrm-duplex-in-lekki-phase-2-for-rent-mWhNva7xXHDcg6bNSQ20skvp.html?page=22&pos=20&cur_pos=20&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=467,Rent is 4.5m Agency and legal 10% each and caution fees 10%as well. Location Oral estate. Self service. Fully detached duplex,Oral Estate,Fairly Used,Semi-Furnished,Duplex,5 bedrooms,6 bathrooms,,"450
     
      sqm",,,,,,,,,,,,,,,,
3 Bedroom Luxury Apartment At Ikoyi Rent, 8000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/3-bedroom-luxury-apartment-at-ikoyi-rent-sE8MALLyphuFmXwRIA341H4z.html?page=23&pos=3&cur_pos=3&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=470,"For Rent 3 Bedroom Luxury Apartment With Bq Stylish And Tastefully Finished Offering An Exquisite, Spacious And Bright Interior Combining Beautiful Period Features With Stunning Contemporary, Fitted Modern Separate Kitchen,Gym, Hot Tub, Pool, Squash Court, Tennis Court, Located At cooper Road Ikoyi. Rent: 8 Million Naira",,,,Apartment,3 bedrooms,3 bathrooms,,"400
     
      sqm",,,,,,,,,No,3,Yes,No,No,,,
"Furnished 5bdrm House in Sinari Daranijo, Victoria Island Extension", 60000000,"Victoria Island, Victoria Island Extension",https://jiji.ng/victoria-island-extension/houses-apartments-for-rent/furnished-5bdrm-house-in-sinari-daranijo-victoria-island-extension-6EtolQacNBzJopwCMgSAX1WA.html?page=23&pos=5&cur_pos=5&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=472,"Discover luxurious living in this spacious 5-bedroom detached house located on Sinari Daranijo Street, Victoria Island. 
With an asking rent of30 million per house, indulge in upscale amenities and prime location. 
Contact us for more details and to schedule a viewing at , or via email at or J. Your dream home awaits!
#VictoriaIslandHomes #DreamHome #ForLease","Sinari Daranijo Street,  Victoria Island",Newly-Built,Furnished,House,5 bedrooms,5 bathrooms,Sinari Daranijo,"500
     
      sqm",Detached,,,,,,,,,,,,,,,
3bdrm Apartment in Lekki Phase 1 for rent, 9000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/3bdrm-apartment-in-lekki-phase-1-for-rent-lf4RYX0OVioNRkUNeSCWVUC9.html?page=23&pos=9&cur_pos=9&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=476,"All rooms ensuite
spacious compound
fully fitted kitchen
swimming pool
excellent lighting 
pop ceiling
serviced
water heater
parking space 
walk in closet
walk in shower 
secured estate",lekki phase 1,Newly-Built,Unfurnished,Apartment,3 bedrooms,3 bathrooms,,"300
     
      sqm",,1500000,sercurity and others,900000,900000,300000,2100000,,,,,,,,,
"3bdrm Townhouse / Terrace in Elf, Lekki Phase 1 for rent", 5000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/3bdrm-townhouse-terrace-in-elf-lekki-phase-1-for-rent-fREYcOyKc9EN2vGy3qurH3vc.html?page=23&pos=12&cur_pos=12&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=479,"To let
 3bedroom terrace duplex with bq for rent all rooms en-suite
Location  Elf , lekki phase 1
Rent:5m
Agency 10%
Legal:10%
Caution 10%
Service charge:1.5m","Elf, Lekki phase 1",Fairly Used,Semi-Furnished,Townhouse / Terrace,3 bedrooms,4 bathrooms,Elf,"250
     
      sqm",,,,,,,,,,,,,,,,
"Furnished 4bdrm Duplex in Paradise Estate, Lekki for Rent", 8000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/furnished-4bdrm-duplex-in-paradise-estate-lekki-for-rent-bcDFcMQzfCu0m3w4LuGbWniP.html?page=23&pos=15&cur_pos=15&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=482,"To let 
*4 bedroom semi detached duplex*
a fully furnished 4 bedroom duplex with self compound for 5 parking slots .
*rent :
agency: 10% 
legal:10% 
caution : 5% 
*service charge :
features 
24hrs power supply 
24hrs security 
ample car park
serene environment 
*location : paradise estate ,chervon drive, lekki","Paradise estate, Chevron drive, Lekki",Newly-Built,Furnished,Duplex,4 bedrooms,5 bathrooms,Paradise estate,"450
     
      sqm",,,,,,,,,,,,,,,,
6bdrm Duplex in Lekki Phase 1 for Rent, 11000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/6bdrm-duplex-in-lekki-phase-1-for-rent-imHvgmTJOuQFj5OvO1zTyeVj.html?page=23&pos=18&cur_pos=18&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=485,"TO LET
6 bedroom detached house for lease along at Lekki Phase 1
Rent:
Agency fee 10%
Agreement 10%",Lekki Phase 1,Newly-Built,Semi-Furnished,Duplex,6 bedrooms,6 bathrooms,,"500
     
      sqm",,,,,,,,,,,,,,,,
"4bdrm Duplex in Ikota Estate, Lekki for rent", 12000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-ikota-estate-lekki-for-rent-zrTo9v9FhqUIWtBU4Zj2qmcH.html?page=23&pos=20&cur_pos=20&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=487,"To let !! || 4bed fully detached ||  ikota lekki || funished 4 bedroom detached duplex
for rent! 
location:  ikota, lekki lagos
rent: 12m per annum
other charges:
- agency 10%
- legal 10%
- caution 1.2m
- total package : 15.6m
features
- all rooms ensuite
- 24 hours security
- fully fitted kitchen
- cinema
- inverter
- car port
- refrigerator
- washing machine
- pop ceiling
- walk in shower
- swimming pool
- jacuzzi
- water heater
- stamp concrete floor
- self serviced",Ikota Lekki,Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,Ikota Estate,"2000
     
      sqm",,,,1200000,1200000,1200000,3600000,,,,,,,,,
4bdrm Duplex in Lekki for rent, 15000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-l2CumqBO6bKKz9h02dro3uWB.html?page=24&pos=3&cur_pos=3&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=490,"Luxury 4 bedroom Semi detached duplex with a swimming pool for Rent
LOCATION: Lekki phase 1

Agency - 10% of rent
Legals - 10% of rent 
Caution- 10% of Rent
Commercial Preferred
FEATURES INCLUDE
 Swimming Pool 
Spacious living room
All room en-suite
Spacious fitted kitchen
Chandeliers lighting
Serene environment
Top quality sanitary wares and floor finishes
 Spacious Parking space
pop finishing
 Generator House
Property is 4br duplex, big masters and all rooms en-suite. Viewing can be arranged and property is excluding furnitures
For further Information, please feel free to call me or visit our office",Lekki phase 1,Fairly Used,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,"450
     
      sqm",,,,,,,,,,,,,,,,
"Furnished 4bdrm Duplex in Phase 1, Lekki for Rent", 9000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/furnished-4bdrm-duplex-in-phase-1-lekki-for-rent-55TV6wNYwtnXheD4VeF9rb9A.html?page=24&pos=7&cur_pos=7&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=494,"to let
newly built 4 bedroom detached duplex with a room bq
features:
newly built
spacious compound
rooftop
all rooms ensuite
fitted kitchen
pop ceiling
serene environment
24/7 security
rent: 9 million naira
location: lekki phase 1
(james ayobo)",Lekki,Newly-Built,Furnished,Duplex,4 bedrooms,5 bathrooms,Phase 1,"645
     
      sqm",,,,,,,,Pets Allowed,,,,,,,,
4bdrm Townhouse / Terrace in Ikoyi for rent, 25000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-ikoyi-for-rent-yBr7KuLcRK211wFtoADmembY.html?page=24&pos=11&cur_pos=11&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=498,"5 units of 4bedroom terrace duplex with gym facility.
Rent: $25,000/annum
Service charge: $5,000/per annum",Ikoyi,Fairly Used,Semi-Furnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,,"2000
     
      sqm",,5000000,"*security
*waste management
*sewage",,,,,,,,,,,,,
"4bdrm Townhouse / Terrace in Gra, Abijo for rent", 2600000,"Ibeju, Abijo",https://jiji.ng/abijo/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-gra-abijo-for-rent-cUDWSg7vhYDF5U6aOZgIvQM0.html?page=24&pos=13&cur_pos=13&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=500,"* newly built 4bedroom terrace at Abijo GRA
* about 10mins walk to GRA bus stop
* regular electricity supply 
* clean water running 
* good and accessible road
* price slightly negotiable",Abijo GRA,Newly-Built,Semi-Furnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,GRA,"700
     
      sqm",Semi-Detached,0,Self serviced,250000,250000,250000,750000,,,,,,,,,
4bdrm Townhouse / Terrace in Ikota for Rent, 4000000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-ikota-for-rent-gs01lCwiHZv6sLPGhCfNpgce.html?page=24&pos=15&cur_pos=15&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=502,"Providence place 
4 bedroom terrace duplex to-let
-
location: ikota g.r.a lekki, lagos.
price: n4m per annum.
other charges
- agency: 10%. 400 
- legal: 10%. 400
- caution fee: 300k
- service charge: 600k per year (upfront payment)
total package: n5.1m
•",Ikota GRA,Newly-Built,Semi-Furnished,Townhouse / Terrace,4 bedrooms,4 bathrooms,,"1200
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Lekki for rent, 8500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-8bt5Zh2KrT5BpHKJQX9GNoqA.html?page=24&pos=19&cur_pos=19&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=506,"FOR RENT! 
Lovely 4 Bedroom Semi Detached Duplex 
Location- Ikate, Lekki
Rent 
Service Charge - monthly 
Caution - 
Agency - 
Legal - 
Property Features: 
- [x] Room ensuite 
- [x] Visitors toilet 
- [x] Fitted Kitchen
- [x] Very Secured Estate 
- [x] 24hrs Security
- [x] 18hrs Electricity 
- [x] Swimming Pool
- [x] BQ
- [x] Ample Parking Space 
- [x] Wardrobe 
- [x] Kitchen cabinet
For more information and enquiries
#shelterforyouproperties #lekkirealtor #lekkiagent #luxuryhousesforsale #homebuyers #firsttimehomebuyer #realestateagent #4bedroomfullydetachedduplexforsale #5bedroomfullydetachedduplexforsale #lagosrealestate #propertyagents #explorerealestate #explorepage #viralpost #ukrealestateinvestment #newsupdate #blogs #4bedroom",Ikate,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,"500
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Ikota for Rent, 4000000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-for-rent-7AFQbxjusvZLEuny5Thob6z6.html?page=25&pos=2&cur_pos=2&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=509,"LAMASH RENT  
4BEDROOM SEMI DETACHED DUPLEX FOR RENT 
Amenities: 
- [ ] Fitted Kitchen 
- [ ] POP Ceiling 
- [ ] Detailed finishing 
- [ ] Wardrobes 
- [ ] Jacuzzi 
- [ ] CCTV 
- [ ] Gas cooker 
- [ ] Water Heater
- [ ] Heat extractor
 
Location: Ikota Lekki 
Price: 4M per annum 
Legal : 10percent 
Agency : 10percent 
Caution : 5 percent",4BEDROOM SEMI DETACHED DUPLEX FOR RENT,Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,Ikota,"250
     
      sqm",,,,,,,,Pets Allowed,,,,,,,,
4bdrm Duplex in Gra for rent, 15000000,"Ikeja, Ikeja GRA",https://jiji.ng/ikeja-gra/houses-apartments-for-rent/4bdrm-duplex-in-gra-for-rent-dEI1Kw6MtfRZwSYL8CdMt37k.html?page=25&pos=5&cur_pos=5&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=512,"4 BEDROOM DETACHED DUPLEX WITH A STUDY AND A BQ FOR RENT.
New House.
Location: Ikeja Gra lagos 

Features;
- All rooms en-suite 
- Anteroom 
- Self service 
- Security House
- Spacious living room 
- Balconies 
- Laundry 
- Family lounge
- Water heater
- Fitted kitchen 
-Walk-in closet’s 
- Shower cubicles 
- Borehole 
- 1Bq",GRA,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,Gra,"200
     
      sqm",,3500000,,10,10,100000,100020,,,,,,,,,
Furnished 5bdrm Duplex in Chevron for rent, 10000000,"Lekki, Chevron",https://jiji.ng/chevron/houses-apartments-for-rent/furnished-5bdrm-duplex-in-chevron-for-rent-yVX9aMOj41PyDiQ3vLYEpJEE.html?page=25&pos=7&cur_pos=7&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=514,"Fully furnished 5-bedroom detached duplex for rent.
Other charges 
Legal 10%, 
Agency 10%
Caution 10%
Total package:13m",Lekki lagos,Fairly Used,Furnished,Duplex,5 bedrooms,5 bathrooms,,"500
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Townhouse / Terrace in Ikota Gra for rent, 4500000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-ikota-gra-for-rent-hNw8EnnyFvsi7mTTMStJ8qAx.html?page=25&pos=10&cur_pos=10&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=517,"Lamash rent  
2unit for rent 
4bedroom terrace duplex for rent 
amenities: 
- [ ] fitted kitchen 
- [ ] pop ceiling 
- [ ] detailed finishing 
- [ ] wardrobes 
- [ ] cctv 
- [ ] gas cooker 
- [ ] water heater
- [ ] heat extractor
 
location: ikota lekki 
price: 4.5m per annum 
legal : 10percent 
agency : 10percent 
caution : 5 percent
lamash",IKOTA,Newly-Built,Unfurnished,Townhouse / Terrace,4 bedrooms,4 bathrooms,IKOTA GRA,"400
     
      sqm",Detached,,,,,,,,,,,,,,,
"3bdrm Block of Flats in Eputu/Newroad, Awoyaya for rent", 800000,"Ibeju, Awoyaya",https://jiji.ng/awoyaya/houses-apartments-for-rent/3bdrm-block-of-flats-in-eputu-newroad-awoyaya-for-rent-lmypRyJETp4DNiIoHQkduZ9o.html?page=25&pos=13&cur_pos=13&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=520,"* spacious 3 bedroom flat at Onimanu/ Newroad
* regular electricity 
* clean water running 
* accessible road
* only 2 units in a compound",New road/Eputu,Renovated,Semi-Furnished,Block of Flats,3 bedrooms,3 bathrooms,Eputu/Newroad,"650
     
      sqm",,,,80000,80000,80000,240000,,,,,,,,,
