name,price,location,link,Description,Property Address,Estate Name,Property Size,Condition,Furnishing,Attribute_1,Attribute_2,Attribute_3,Service Charge Fee,Service Charge Covers,Agency Fee,Legal and Agreement Fee,Caution Fee,Total Fee,Subtype,Pets,New Property,Total Rooms,Parking Space,Broker Fee,Furnished
"2bdrm Bungalow in Good Home Estate, Ado / Ajah for rent", 900000,"Ajah, Ado / Ajah",https://jiji.ng/ado-ajah/houses-apartments-for-rent/2bdrm-bungalow-in-good-home-estate-ado-ajah-for-rent-8ah2GIDcqMIkn2wahdbnYCVS.html?page=1&pos=1&cur_pos=1&ads_per_page=22&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=0,"Standard Self Serviced 2Bed Flat En-suite with 2 Toilets, in a secured Estate 
Location: Good Home Estate",Good Home Estate,Good Home Estate,500sqm,Fairly Used,Semi-Furnished,Bungalow,2 bedrooms,2 bathrooms,,,,,,,,,,,,,
5bdrm Duplex in Pinnock Beach Estate for rent, 18000000,"Lekki, Osapa london",https://jiji.ng/osapa-london/houses-apartments-for-rent/5bdrm-duplex-in-pinnock-beach-estate-for-rent-3H8fsfC2LfLreBqjnH8xXEwM.html?page=1&pos=4&cur_pos=4&ads_per_page=22&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=3,"FOR RENT!
Luxury 5bedroom detached duplex with swimming pool and cinemaPinnock beach Estate Osapa,Lekki
N18M",Luxury 5bedroom duplex with swimming pool & cinema at Osapa,Pinnock beach Estate osapa London lekki lagos,600sqm,Newly-Built,Semi-Furnished,Duplex,5 bedrooms,6 bathrooms,,,,,,,,,,,,,
Mini Flat in Gbagada for rent, 1600000,Gbagada,https://jiji.ng/gbagada/houses-apartments-for-rent/mini-flat-in-gbagada-for-rent-A0wRCMKb0BR0kVRwAdQADOBg.html?page=1&pos=7&cur_pos=7&ads_per_page=22&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=6,"F E A T U R E S
- Security 
- Inverter 
- CCTV
- Water heater 
- Heat extractor 
- Pop
- Modern finishing and fittings",Pedro Gbagada Lagos,,110sqm,Newly-Built,Semi-Furnished,Mini Flat,1 bedroom,1 bathroom,200000,"Waste removal, compound cleaning, security, etc.",,,,,,,,,,,
4bdrm Duplex in Lekki for rent, 3800000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-z5n2JLAyMetnkbojLGwoVm7W.html?page=1&pos=10&cur_pos=10&ads_per_page=22&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=9,"*brand new 4bedroom terrace duplex at lekki conservation road
agency
legal 10%
caution fee 10%",Lekki,Lekki,600sqm,Fairly Used,Semi-Furnished,Duplex,4 bedrooms,2 bathrooms,,,500000,380000,380000,1260000,,,,,,,
"2bdrm Apartment in Ikate, Lekki for rent", 5500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/2bdrm-apartment-in-ikate-lekki-for-rent-qaVonac6Cn4X0RUClPnYAtxx.html?page=1&pos=13&cur_pos=13&ads_per_page=22&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=12,"2 BEDROOM APARTMENT FOR RENT
Rent:
Front unit 2 Bedroom 6M
Back unit 2 Bedroom 5.5M
( Shortlet Allowed)
Location: Ikate, Lekki Lagos 
Other Charges
Agency 10%
Legal 5%
Caution 1M
Service Charge: 1M ( Diesel Inclusive)
Fully Serviced | Interlocked floor | 24 Hours Electricity | 24 Hours Security |Water Heater | Secure Environment | Fully Fitted Kitchen | Walk in Shower | Balcony |",Ikate,Ikate,1500sqm,Newly-Built,Unfurnished,Apartment,2 bedrooms,3 bathrooms,1000000,,550000,225000,550000,1325000,,,,,,,
1bdrm Bedsitter in Ogudu for rent, 2000000,"Ogudu, Ogudu GRA",https://jiji.ng/ogudu-gra/houses-apartments-for-rent/1bdrm-bedsitter-in-ogudu-for-rent-n9dm5pFFyc4wmnOHi0AStQ3K.html?page=1&pos=16&cur_pos=16&ads_per_page=22&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=15,Spacious mini flat at Ogudu GRA 2m per annum,Ogudu,Ogudu,300sqm,Newly-Built,Semi-Furnished,Bedsitter,1 bedroom,2 bathrooms,,,,,,,,,,,,,
"3bdrm Apartment in Araromi, Gbagada for rent", 2800000,Gbagada,https://jiji.ng/gbagada/houses-apartments-for-rent/3bdrm-apartment-in-araromi-gbagada-for-rent-5H48CZFRys15dkRpbTRQiTvx.html?page=1&pos=19&cur_pos=19&ads_per_page=22&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=18,"2 units tastefully renovated 3 bedrooms ground flats 2t 2b all tiled with kitchen cabinets, wardrobes water heater, cubicle shower n ample parking in a block of 4:@ Sawmill Gbagada
*2.8M",Sawmill Gbagada,Araromi,300sqm,Newly-Built,Semi-Furnished,Apartment,3 bedrooms,2 bathrooms,,,,,,,,,,,,,
Mini Flat in Ikorodu for rent, 200000,Ikorodu,https://jiji.ng/ikorodu/houses-apartments-for-rent/mini-flat-in-ikorodu-for-rent-2Xwc2dHjgBGfIAHmMnnM8gD3.html?page=1&pos=22&cur_pos=22&ads_per_page=22&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=21,"Mini flat for rent at Oke Eletu,Ijede road Ikorodu",Oke Eletu(Abule eko),,600sqm,Renovated,Semi-Furnished,Mini Flat,1 bedroom,1 bathroom,,,,,,,,,,,,,
4bdrm Duplex in Lagos State for rent, 5500000,Lagos State,https://jiji.ng/lagos/houses-apartments-for-rent/4bdrm-duplex-in-lagos-state-for-rent-r98TwDTPJlXpkKjf4psVXsA7.html?page=2&pos=5&cur_pos=5&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=26,"For Rent!!
4 Bedroom Semi Detached Duplex with Bq
Location : Buena Vista Estate, Orchid, Lekki, Lagos.
Price: 5.5 Million Naira 
Caution: 300 Thousand Naira
Agency and Legal: 10% each
________________________________
Features
- Fitted Kitchen 
- Fully Serviced Estate 
- Brand New
- POP Ceilings 
- Water Treatment
- 24/7 Security
Etc","Buena Vista Estate, Orchid, Lekki",,1000sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Chevron, Lekki for rent", 4000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-chevron-lekki-for-rent-ajWofzr8aBDrhsICCui44mUU.html?page=2&pos=8&cur_pos=8&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=29,"A newly built 3 unit of 4 bedroom terrace duplex at Nature View Gardens, beside Simify Court phase 5, directly on Conservation road, Chevron, Lekki, Lagos 
Rent N4m
Legal fee: 10%
Legal 10%
Caution 10%","conservation road, Chevron",Chevron,600sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,400000,4000000,400000,4800000,,,,,,,
4bdrm Duplex in GRA Phase 2 Shangisha for rent, 8000000,"Magodo, GRA Phase 2 Shangisha",https://jiji.ng/gra-phase-2/houses-apartments-for-rent/4bdrm-duplex-in-gra-phase-2-shangisha-for-rent-aMJih7NuN7T7Os7cJyxXTwfc.html?page=2&pos=11&cur_pos=11&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=32,"Magodo phase 2 gra property to let 
description: tastefully relatively new 4 bedroom detached duplex with in a serene environment magodo phase 2 gra 
= 
location: magodo phase 2 gra
= ≠= 
rent: 8m
ms",Magodo phase 2,,800sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
2bdrm Apartment in Lekki Phase 1 for rent, 6000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/2bdrm-apartment-in-lekki-phase-1-for-rent-uJNR7PffAMyfQqCrohxiFtzg.html?page=2&pos=14&cur_pos=14&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=35,"Fully serviced 2 bedroom with 24 Hours power available for rent. Rent 6m, service charge 2m. agency, caution and legal 10%each",lekki phase 1,,1200sqm,Newly-Built,Unfurnished,Apartment,2 bedrooms,2 bathrooms,2000000,,,600000,600000,,,,,,,,
2bdrm Apartment in Magodo Phase 1 for rent, 1000000,Magodo,https://jiji.ng/magodo/houses-apartments-for-rent/2bdrm-apartment-in-magodo-phase-1-for-rent-tvfimT8lmUoXYBMS677ttjHL.html?page=2&pos=17&cur_pos=17&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=38,"A renovated/ well maintained 2 bedrooms apartment. It's a high grade and a high standard 2 bedrooms apartment. This apartment, are all rooms en-suite. It has water supply with a very beautiful 3d wall pappers. This 2 bedrooms, is specious, tastefully built and well structured. The exterior of the property it self, that's the compound, is very specious/ large. It can contain about 12 to 15 capacity of vehicles. This apartment, has front view entrance which is through the palour and back view exit which is through the kitchen. It's fened with gate. It has sepeerate prepaid metres.",Magodo phase 1 GRA,Magodo phase 1,750sqm,Renovated,Semi-Furnished,Apartment,2 bedrooms,3 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Nicon Town for rent, 6500000,"Lekki, Nicon Town",https://jiji.ng/nicon-town/houses-apartments-for-rent/4bdrm-duplex-in-nicon-town-for-rent-iAqijbaf8PjuVOKkOa27biUD.html?page=2&pos=20&cur_pos=20&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=41,"*TO LET IN LEKKI* 
Fully Serviced well maintained 4Bedroom terrace no bq for rent
In a well secured call in estate at ikate beside Nicon Town estate Lekki 
Rent :
Agency, legal & caution 10%each.
Service charge update below .
Generator Hours
Weekdays: 6am - 8am & 6pm - 12midnight.
Weekends/Public Holidays: 7am - 9am, 1pm - 4pm & 6pm - 12 midnight.
However, occupants can request for generator use at anytime outside these standard hours for a fee of per hour.
Service Charge:per month.
Diesel Base Fee:#per month.
(Service charge & Diesel base fee can be paid either monthly, quarterly, half yearly or yearly)
Electricity tariff:#per kw.",Nicon town Ikate,,300sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
Furnished 3bdrm Apartment in Ikoyi for rent, 18000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/furnished-3bdrm-apartment-in-ikoyi-for-rent-vdndTQyZA97pkF994x9UR22z.html?page=3&pos=1&cur_pos=1&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=45,"Renting
luxury furnished 3 bedroom apartment with pool, children's playground and gym in a secured neighborhood
location: off alfred rewane, ikoyi, lagos.
rent: n18m
agency: 10%
legal: 10%
service charge: n2m
#inspection fee :10k
features:
- fully furnished 
- all rooms en-suite 
- fitted kitchen 
- 24hours security
- 24hours electricity 
- shower cubicles 
- balconies
- water heaters
- water treatment plant 
- swimming pool
- children's playground

Chris",Alfred Wayne,Ikoyi,1000sqm,Fairly Used,Furnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
3bdrm Apartment in Lekki for rent, 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/3bdrm-apartment-in-lekki-for-rent-aKu9NHxPqdylwczG2fjwQ364.html?page=3&pos=4&cur_pos=4&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=48,"*for cooperate tenant only*
*available letting at lekki phase 1*
*approve for shortlet investment*
 brand new 3units of 3 bedroom apartment with a bq in lekki phase 1, lekki, lagos
*features- 24 hours power, 24 hours security, beautiful fitted wardrobe, astonishing woodwork, great ambiance, gorgeous lightings, fitted air conditions, sparkling chandeliers, nice pop designs, balconies, ample parking space, lounge area
caution per flat x 3 
legal of the total rent
agency of total rent 
*for cooperate tenant to take all at once*",Lekki phase 1,,1000sqm,Newly-Built,Unfurnished,Apartment,3 bedrooms,4 bathrooms,,,,,,,,,,,,,
4bdrm Townhouse / Terrace in Lekki for rent, 8000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-lekki-for-rent-1ekmVS2tB8m9i38PZXALCybP.html?page=3&pos=6&cur_pos=6&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=50,"Newly Built 4bedroom Terrace
*Location: Atlantis IV Estate, Plantinum Way, Jakande*
Rental Value: 8 Million per Annum 
Service charge:# per Month 
Agency: 10%:#
Legal: 10%:#
Caution:#
*Features:*
Swimming pool 
Gym
Gated estate with 24/7 Security 
Fitted kitchen 
 All rooms Ensuite",Jakande,,500sqm,Newly-Built,Unfurnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Leon Homes, Chevron for rent", 4500000,"Lekki, Chevron",https://jiji.ng/chevron/houses-apartments-for-rent/4bdrm-duplex-in-leon-homes-chevron-for-rent-pBmdjmtGJNiGPY6E8goN1vT3.html?page=3&pos=9&cur_pos=9&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=53,"4 bedroom terrace for rent in a serene environment at lekki chevron drive.
24/7 light.
Security
Nice apartment",Tulip Haven estate 5 chevron drive lekki,Leon homes,400sqm,Fairly Used,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,450000,450000,400000,1300000,,,,,,,
3bdrm Apartment in Ikoyi for rent, 15000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/3bdrm-apartment-in-ikoyi-for-rent-st6hZaNcjYep8LscNeV6CdJi.html?page=3&pos=13&cur_pos=13&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=57,"Just out for rent! 
brand new fully serviced 3 bedroom apartment for rent with bq, swimming pool, elevator and 24hrs guaranteed light in ikoyi, lagos. 
location: ikoyi, lagos. 
rent: ngn15,000,000 
other charges: 
service charge: yet to be determined 
caution: ngn1,000,000 
agency: 10% 
legal: 10% 
total cost: ngn19,000,000",Ikoyi s.,,200sqm,Newly-Built,Unfurnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
5bdrm House in Ologolo for rent, 6000000,"Lekki, Ologolo",https://jiji.ng/ologolo/houses-apartments-for-rent/5bdrm-house-in-ologolo-for-rent-uCdmKB1TgwetyK30FzyO2X5z.html?page=3&pos=15&cur_pos=15&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=59,"Self service 5 Bedroom detached duplex with BQ at Ologolo SPG. Not in an estate
Rent - 6M Sightly negotiable 
Legal - 10%
Agency- 10%
Caution - 500k",SPG,,450sqm,Fairly Used,Unfurnished,House,5 bedrooms,5 bathrooms,,,10,10,10,30,Detached,,,,,,
4bdrm Duplex in Lekki for rent, 4500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-nt4KDSJgoAAUu6f12IFCKE8O.html?page=3&pos=19&cur_pos=19&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=63,"4 bedroom semi detached duplex 
For rent 
Location : orchid ,Eleganza 
Rent :4.5M",Orchid Road,,600sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
"Furnished 4bdrm Duplex in Oral Estate, Lekki Phase 1 for rent", 10000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/furnished-4bdrm-duplex-in-oral-estate-lekki-phase-1-for-rent-eXbOPGom8ntgQPlDTVnG2Lk6.html?page=3&pos=22&cur_pos=22&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=66,"TO LET || 4 bed semi detached with pool ||  || Oral estate 

Agency 10%
Legal 10%
Caution 10%

For inspection:",second toll gate lekki Lagos,Oral estate,300sqm,Newly-Built,Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
"1bdrm Apartment in Roxbury Estate, Lekki for rent", 1100000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/1bdrm-apartment-in-roxbury-estate-lekki-for-rent-yCGhxuPPMbyK0dJzKFkmbFOC.html?page=4&pos=2&cur_pos=2&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=69,"*fresh out* 
  
*semi masters bedroom upstairs in a shared apartment in serviced estate with 24hours light, swimming pool, gym , playground, parking space*
*location: roxbury estate, ikota - vgc, lekki-lagos*
*rent: 1.1m*
*service charge 250k*
*alc % each*
*nepa light is pay as you use... *","Ikota, lekki",Roxbury estate,300sqm,Newly-Built,Semi-Furnished,Apartment,1 bedroom,1 bathroom,,,,,,,,,,,,,
5bdrm Duplex in Banana Island for rent, 150000000,"Ikoyi, Banana Island",https://jiji.ng/banana-island/houses-apartments-for-rent/5bdrm-duplex-in-banana-island-for-rent-hn5d8xgEOJiTo21gBOUENMl3.html?page=4&pos=5&cur_pos=5&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=72,"Exquisitely Built 5 bedrooms detached House to Let
FEATURES
All rooms ensuite 
Swimming pool 
BQ
Two living rooms 
Fitted kitchen 
Matured gardens 
Private garage 
Space for gymnasium
Rent : for (2) two years 
Agency : Ten Percent 
Legal fees: Ten percent","BANANA ISLAND, IKOYI, LAGOS",BANANA ISLAND,1000sqm,Fairly Used,Semi-Furnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Agungi for rent, 8500000,"Lekki, Agungi",https://jiji.ng/agungi/houses-apartments-for-rent/4bdrm-duplex-in-agungi-for-rent-xnj6w0TVG4ADbCYS84BMRCtR.html?page=4&pos=8&cur_pos=8&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=75,"Four rooms fully furnished semi detached duplex at Agungi Lekki. With a Boys' Quarters within.
All rooms are en-suite and their is visitors' toilet as well.
Contact: + (Charles)","Agungi Residence, Lekki Road",,600sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
4bdrm Townhouse / Terrace in Lekki for rent, 7000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-lekki-for-rent-tLrsC2a1HtNLq9ZSYa2dfB8o.html?page=4&pos=11&cur_pos=11&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=78,"To let !! 4bed terrace duplex ||  ologolo lekki 
lovely 4 bedroom terrace duplex
 *location:  - ologolo, lekki
rent - n7m per annum
other charges :
service charge - n700,000
caution - n350,000
agency - 10% 
legal - 10%
 *property features:* 
- [x] prepaid meter
- [x] swimming pool
- [x] gas cooker
- [x] jacuzzi
- [x] microwave
- [x] water treatment machine
- [x] inbuilt heat extractor
- [x] room ensuite 
- [x] visitors toilet 
- [x] fitted kitchen
- [x] very secured estate 
- [x] ample parking space 
- [x] wardrobe 
- [x] kitchen cabinet",ologolo,,690sqm,Newly-Built,Semi-Furnished,Townhouse / Terrace,4 bedrooms,4 bathrooms,700000,Per annum,10,10,350000,350020,Semi-Detached,,,,,,
4bdrm Duplex in Lekki for rent, 4000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-i1vw8HR4DgCbTSNzQui2I7Yd.html?page=4&pos=14&cur_pos=14&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=81,"Location:orchid
Rent:4m
Self serviced",Orchid,,600sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Ikota Estate, Lekki for rent", 6000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-ikota-estate-lekki-for-rent-fiEqaTci3IqN55BKzPEYV3O5.html?page=4&pos=17&cur_pos=17&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=84,"TO LET || 4 bed || Ikota 
4 bedroom semi detached duplex
Agency 10%
Legal 10%
Self serviced
Features:
Private compound
Secured estate
Bq
Newly built
Private compound
Lord",Ikota,Ikota estate,200sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,,600000,600000,600000,1800000,,,,,,,
"Furnished 4bdrm Townhouse / Terrace in Banana, Ikoyi for rent", 30000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/furnished-4bdrm-townhouse-terrace-in-banana-ikoyi-for-rent-baBBvI9LxjyEt1NbaeIGoBe6.html?page=4&pos=20&cur_pos=20&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=87,"FOR RENT:

Description: Newly built 4 Bedroom terrace with 1 bedroom Boysquater (No swimming pool, no gym)

Location: Banana Islandma
Rent: N30m
Service Charge: N4million",Banana,Banana,250sqm,Newly-Built,Furnished,Townhouse / Terrace,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
"Furnished 5bdrm Duplex in Elegant, Osapa london for rent", 9000000,"Lekki, Osapa london",https://jiji.ng/osapa-london/houses-apartments-for-rent/furnished-5bdrm-duplex-in-elegant-osapa-london-for-rent-8RFDoqzvvEo5gYed44FtjE0J.html?page=5&pos=2&cur_pos=2&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=92,"100% Fully furnished house for rent in osapa LONDON.
5bed fully detached duplex with bq
Solar panel, inverter batteries and water treatment plant
Rent: 10million
Legal:10%
Agency:10%
Caution: 10%
Video available on request
Serious person should reach us now",Osapa,Elegant,500sqm,Newly-Built,Furnished,Duplex,5 bedrooms,6 bathrooms,,,,,,,,,,,,,
"5bdrm Duplex in Ocean Bay Estate, Lekki Phase 2 for rent", 7500000,"Lekki, Lekki Phase 2",https://jiji.ng/lekki-phase-2/houses-apartments-for-rent/5bdrm-duplex-in-ocean-bay-estate-lekki-phase-2-for-rent-yJuhadEzQhdY1p6P8xE6GNhS.html?page=5&pos=4&cur_pos=4&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=94,"FOR RENT ! 
5 bedroom Detached Duplex 
Location: Ocean bay estate.
Rent: 7.5m
Agency 10%
Legal 10%
Caution 600k.",Orchid road lekki Lagos,Ocean Bay Estate,400sqm,Newly-Built,Semi-Furnished,Duplex,5 bedrooms,5 bathrooms,,,750000,750000,600000,2100000,,,,,,,
3bdrm Apartment in Magodo for rent, 2500000,Magodo,https://jiji.ng/magodo/houses-apartments-for-rent/3bdrm-apartment-in-magodo-for-rent-907KxnP3UhmsaDcVl78c8VZk.html?page=5&pos=7&cur_pos=7&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=97,Newly renovated 3bedroom magodo,Magodo phase 2,Magodo,500sqm,Renovated,Semi-Furnished,Apartment,3 bedrooms,4 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Chevron Lekki for rent, 6000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-chevron-lekki-for-rent-kSySi2GAkHxcPlsVJUlASTnx.html?page=5&pos=10&cur_pos=10&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=100,"Newly built 4Bedrooms Fully Detached Duplex with Bq at chevron second toll gate is available for rent 
Annual rent 6miliion 
Agency 60ok.
Legal 300k
Refundable caution 600k
Service charge 480
It can also be self serviced",Chevron second toll gate,Chevron Lekki,500sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
"4bdrm Apartment in Ologolo Estate, Lekki for rent", 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-apartment-in-ologolo-estate-lekki-for-rent-awEjw7fI2DIJ5q95gNJzO423.html?page=5&pos=12&cur_pos=12&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=102,"Spacious commercial and residential 
4 bedroom duplex with a bq 
Ologolo estate 
Rent 5m 
Agency 10%
Agreement 10% 
Caution 10%
 Commercial: office used and residential strictly",Ologolo lekki,Ologolo estate,400sqm,Newly-Built,Semi-Furnished,Apartment,4 bedrooms,6 bathrooms,500000,Security lawma cleaning disposal of bin water treatment mentainace,500000,500000,500000,1500000,,,,,,,
"4bdrm Townhouse / Terrace in Orchid, Lekki Phase 2 for Rent", 3500000,"Lekki, Lekki Phase 2",https://jiji.ng/lekki-phase-2/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-orchid-lekki-phase-2-for-rent-4c9vZ4iZhf4vAaG5eWNqMa7Z.html?page=5&pos=15&cur_pos=15&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=105,"To let
serviced brand new 3 and 4bedroom terrace apartment.
location: off orchid rd, lekki lagos
- secured and fenced estate
- lightnings of common area
- 1 car park space
- security
- intercom
- door bell
- waste disposal
- cleaning
- cctv camera etc
3bed;
rent-3m
service charge-400k
caution-10%
agency-10%
legal-10%
4bed:
rent-3.5m
service charge-400k
legal-10%
caution-10%
agency-10%
dija","Off Orchid Rd, Lekki Lagos",Orchid,1200sqm,Newly-Built,Unfurnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,400000,,350000,350000,350000,,Semi-Detached,,,,,,
4bdrm Duplex in Ikota for rent, 5000000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-for-rent-5HzABw5ZHQP4111ya6BafM9m.html?page=5&pos=19&cur_pos=19&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=109,"4 Bedroom Semi Detached Duplex For Rent 
Price: ₦5,000,000
Caution: ₦500,000
Legal: ₦500,000
Agency: ₦500,000
Location: Ikota, Lekki  
Features:
-All Rooms Ensuite
-Fitted Kitchen
-POP Ceiling
-Wardrobe
-Water Treatment
-Water Heater
-Heat Extractor
-Ample Parking Space
Inquiries II inspection II Purchase II Call
WhatsApp +
Email: 
Website: 
Facebook: 
Instagram: 
LinkedIn: 
Youtube:",Ikota,,300sqm,Fairly Used,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Admiralty Way, Lekki Phase 1 for Rent", 6000080,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/4bdrm-duplex-in-admiralty-way-lekki-phase-1-for-rent-4WIVt3o3lJPFQOkq6ZC9WGSc.html?page=5&pos=21&cur_pos=21&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=111,"Well spacious brand new 4 bedroom duplex with bq with dominion features in a secured estate In lekki phase one admiralty way 
All rooms en-suite 24hrs light but come with your gen
Good electricity 
Easy accessibility 
Good road network and proximity 
Interlocked 
Clean water supply 
Clean environment",admiralty way,admiralty way,3000sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,7 bathrooms,,,600000,600000,600000,,,Pets Allowed,,,,,
