name,price,location,link,Description,Property Address,Estate Name,Property Size,Condition,Furnishing,Attribute_1,Attribute_2,Attribute_3,Service Charge Fee,Service Charge Covers,Agency Fee,Legal and Agreement Fee,Caution Fee,Total Fee,Subtype,New Property,Total Rooms,Parking Space,Broker Fee,Furnished,Pets
"2bdrm Apartment in Allan Balogun Estate, Agungi for rent", 2300000,"Lekki, Agungi",https://jiji.ng/agungi/houses-apartments-for-rent/2bdrm-apartment-in-allan-balogun-estate-agungi-for-rent-b6RrGt8LrBKIxsxrWrOuk8p6.html?page=1&pos=1&cur_pos=1&ads_per_page=21&ads_count=15812&lid=Xg7o-UQzyIZWjCuu&indexPosition=0,"Lovely Built and finished 2bed flat, all Room Ensuite 
Location: Agungi 
Downstairs 
Rent: 2.3m Caution fees: 230k. Agreement :10%.
 Service changer: 400k.
Agency: 10 %
 Upstairs Rent #2.4 Agreement is 10%.
Agency is 10%.
Caution fees: 240. Service changer : 400k.
What the service changer entails 1, estate security, 2, lawman,3, gate man, 4, water treatment, 5, using a generator to pump water when there's no light, 6 buying tokens for the meter to pump water when there is light .",Allan Balogun,Allan Balogun Estate,"500
     
      sqm",Fairly Used,Semi-Furnished,Apartment,2 bedrooms,2 bathrooms,,,,,,,,,,,,,
Mini Flat in Gbagada for rent, 1600000,Gbagada,https://jiji.ng/gbagada/houses-apartments-for-rent/mini-flat-in-gbagada-for-rent-A0wRCMKb0BR0kVRwAdQADOBg.html?page=1&pos=4&cur_pos=4&ads_per_page=21&ads_count=15812&lid=Xg7o-UQzyIZWjCuu&indexPosition=3,"F E A T U R E S
- Security 
- Inverter 
- CCTV
- Water heater 
- Heat extractor 
- Pop
- Modern finishing and fittings",Pedro Gbagada Lagos,,"110
     
      sqm",Newly-Built,Semi-Furnished,Mini Flat,1 bedroom,1 bathroom,200000,"Waste removal, compound cleaning, security, etc.",,,,,,,,,,,
"Furnished 1bdrm Block of Flats in Rosun Court, Awoyaya for rent", 800000,"Ibeju, Awoyaya",https://jiji.ng/awoyaya/houses-apartments-for-rent/furnished-1bdrm-block-of-flats-in-rosun-court-awoyaya-for-rent-d4epr8KtpeRA7hFHwBDEk8to.html?page=1&pos=7&cur_pos=7&ads_per_page=21&ads_count=15812&lid=Xg7o-UQzyIZWjCuu&indexPosition=6,"Super standard, extra touch of luxury, extraordinarily finished mini flat in a fantastic super clean estate 
T/C apply","Rosun Court close , off unity estate road Gbetu",Rosun Court,"450
     
      sqm",Newly-Built,Furnished,Block of Flats,1 bedroom,2 bathrooms,100000,".Cleaning of compounds
disposal of waste bin
provision of water
payment of security",,,,,,,,,,,
"2bdrm Block of Flats in Isheri North Gra, Berger for rent", 1300000,"Ojodu, Berger",https://jiji.ng/berger/houses-apartments-for-rent/2bdrm-block-of-flats-in-isheri-north-gra-berger-for-rent-34IWeodz6XoDgSRj8t6GE4lN.html?page=1&pos=10&cur_pos=10&ads_per_page=21&ads_count=15812&lid=Xg7o-UQzyIZWjCuu&indexPosition=9,House is newly built and tastefully finished with modern fittings...,Road 10,Isheri North GRA,"400
     
      sqm",Newly-Built,Semi-Furnished,Block of Flats,2 bedrooms,3 bathrooms,,,,,,,,,,,,,
3bdrm Apartment in Oke-Ira / Ogba for Rent, 1300000,"Ogba, Oke-Ira / Ogba",https://jiji.ng/ogba-oke-ira/houses-apartments-for-rent/3bdrm-apartment-in-oke-ira-ogba-for-rent-utpRhyeSCbCaIU5DKnwHahMp.html?page=1&pos=13&cur_pos=13&ads_per_page=21&ads_count=15812&lid=Xg7o-UQzyIZWjCuu&indexPosition=12,"To let:: 3Bedroom flat,all rooms ensuite with visitor's toilet (Upstairs) in a gated close at Okeira Ogba (decent neighborhood)... 1.5m per annual","oke ira, Ogba, Lagos State.",,"600
     
      sqm",Fairly Used,Unfurnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
"Furnished 1bdrm Block of Flats in Basorun Estate, Ijede / Ikorodu", 250000,"Ikorodu, Ijede / Ikorodu",https://jiji.ng/ikorodu-ijede/houses-apartments-for-rent/furnished-1bdrm-block-of-flats-in-basorun-estate-ijede-ikorodu-1f9kSgpHWRerpY6urWE76kgy.html?page=1&pos=16&cur_pos=16&ads_per_page=21&ads_count=15812&lid=Xg7o-UQzyIZWjCuu&indexPosition=15,The road to the apartment is very good and there is always a constant light there and the environment is very secure.,"No 20,Olawale street mowokekere ikorodu",Basorun Estate,"648
     
      sqm",Fairly Used,Furnished,Block of Flats,1 bedroom,1 bathroom,,,50000,50000,20000,120000,,,,,,,
"1bdrm Apartment in Budland, Ojodu for rent", 650000,Ojodu,https://jiji.ng/ojodu/houses-apartments-for-rent/1bdrm-apartment-in-budland-ojodu-for-rent-rCgpNSq5QGlirrDqY1fksWIg.html?page=1&pos=19&cur_pos=19&ads_per_page=21&ads_count=15812&lid=Xg7o-UQzyIZWjCuu&indexPosition=18,House is well built and tastefully finished with modern facilities...,Oppste Omole estate,Budland,"620
     
      sqm",Newly-Built,Semi-Furnished,Apartment,1 bedroom,1 bathroom,,,,,,,,,,,,,
4bdrm Duplex in Lekki for rent, 4000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-fF1rZ9LD2xO2sIPVIjlYpJBW.html?page=2&pos=2&cur_pos=2&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=22,"Brand Newly Built Luxury 4bedrooms Terrace Duplex in a Secured Estate For Rent
 Location: Ikota GRA Lekki Lagos
Rent: 4M Per annum
Service Charges: 50k Monthly
*Note:* Power is Pay As you Go.
Agency: 10%
 Legal: 10%
 Caution deposit: 300k
 *Features:*
- Gated Estate
- 4bedroom
- Family lounge
- POP finishing
- All rooms en-suite 
- Fitted kitchen 
- Jacuzzi 
- Porcelain tiles 
- Kitchen store
- Wardrobe closet
- Bathtub
- CCTV
- Water heaters
- Showers
- clean borehole water
- Security house","Ikota, Lekki.",,"450
     
      sqm",Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,400000,400000,300000,1100000,,,,,,,
5bdrm Duplex in Lekki Ph1 Off for rent, 9500000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/5bdrm-duplex-in-lekki-ph1-off-for-rent-uD2q028zOy02bct0oGc5dWWh.html?page=2&pos=6&cur_pos=6&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=26,"5bedroom duplex Newly built detached house with boys quarter with at lekki ph1 off admiralty way, secured and serine environment",Lekki ph1,Lekki ph1 off admiralty,"690
     
      sqm",Newly-Built,Semi-Furnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,
Furnished 3bdrm Apartment in 1004 Estate for rent, 8000000,"Victoria Island, 1004",https://jiji.ng/1004/houses-apartments-for-rent/furnished-3bdrm-apartment-in-1004-estate-for-rent-zLw576LkZ1BOlub6nO1mpJmm.html?page=2&pos=9&cur_pos=9&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=29,"Fully furnished 3 bedroom flat at block A1, 1004 flats estate VI rent
Price: #8,000,000
Enquiries080XXXXXXXX",Victoria island,1004 estate,"800
     
      sqm",Fairly Used,Furnished,Apartment,3 bedrooms,4 bathrooms,,,,,,,,,,,,,
"Furnished 2bdrm Apartment in Were Were, Abule Egba for rent", 1000000,Abule Egba,https://jiji.ng/lagos-abule-egba/houses-apartments-for-rent/furnished-2bdrm-apartment-in-were-were-abule-egba-for-rent-uDGJxquSCfSVid70qlxTeV2X.html?page=2&pos=12&cur_pos=12&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=32,"A lovely newly built 2 bedroom apartment in a very serene and gated environment just a minute walk to the tarred road and personal staircase good for all
Downstairs available",Command,Were Were,"648
     
      sqm",Newly-Built,Furnished,Apartment,2 bedrooms,3 bathrooms,,,,,,,,,,,,,
2bdrm Block of Flats in Baruwa for rent, 800000,"Ipaja, Baruwa",https://jiji.ng/baruwa/houses-apartments-for-rent/2bdrm-block-of-flats-in-baruwa-for-rent-aoS5zPLBFm05Yg9Qgbi0jpQZ.html?page=2&pos=15&cur_pos=15&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=35,"To let pack out two bedroom flat at peace estate baruwa with personal prepaid meter,ensuit, wardrobes, kitchen cabinet 800k 150/150/100 no landlord. No discrimination. Please a responsible client with Good job is needed.",BARUWA,,"225
     
      sqm",Fairly Used,Semi-Furnished,Block of Flats,2 bedrooms,2 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Ikota, Lekki for rent", 4500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-ikota-lekki-for-rent-BDumW9q950uVD509Zd3pS3I9.html?page=2&pos=18&cur_pos=18&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=38,"4bedrooms semi detached duplex in Ikota GRA... 
Rent 4.5m
Agency 450k
Caution 450k
Legal 450k
adeshol",Ikota,Ikota,"500
     
      sqm",Fairly Used,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,450000,450000,450000,1350000,,,,,,,
2bdrm Apartment in Lekki for rent, 4500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/2bdrm-apartment-in-lekki-for-rent-8opGpX0NwyOmtXU8yGw17Hvr.html?page=2&pos=22&cur_pos=22&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=42,"FOR RENT! 
Lovely 2 Bedroom Apartment
Location- Agungi, Lekki
Caution - 10%
Agency - 10% 
Legal - 10%
Property Features:
- [x] Serviced
- [x] 24hrs Security
- [x] 24hrs Power Supply
- [x] Room ensuite
- [x] Walk-in Shower
- [x] Heat Extractor 
- [x] Wated Heater
- [x] Visitors toilet 
- [x] Fitted Kitchen
- [x] Very Secured Estate 
- [x] Ample Parking Space 
- [x] Wardrobe 
- [x] Kitchen cabinet",Agungi,,"500
     
      sqm",Newly-Built,Semi-Furnished,Apartment,2 bedrooms,3 bathrooms,,,,,,,,,,,,,
5bdrm Duplex in Osapa london for rent, 15000000,"Lekki, Osapa london",https://jiji.ng/osapa-london/houses-apartments-for-rent/5bdrm-duplex-in-osapa-london-for-rent-yXcoW8OTbZuv3qDsuwP9FmUU.html?page=3&pos=2&cur_pos=2&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=45,"Brand newly built luxury 5bedrooms fully detached duplex with open terrace & bq for rent.
location: victory park estate osapa - lekki lagos.
 rent: n15m per annum
*note:* 2years upfront payment required.
agency 10%
legal: 5%
caution: n1.5m
 *description:*
- superb unconventional architecture
- secure estate
- all rooms ensuite 
- ample parking 
- beautiful lighting 
- fitted kitchen
- family lounge
- top quality wardrobes
- stamp concrete floor
- dining area
- luxury sanitary wares
- great neighbourhood 
- bq","Victory park, Osapa London, Lekki.",,"750
     
      sqm",Newly-Built,Unfurnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,
2bdrm Block of Flats in Baruwa for rent, 800000,"Ipaja, Baruwa",https://jiji.ng/baruwa/houses-apartments-for-rent/2bdrm-block-of-flats-in-baruwa-for-rent-aoS5zPLBFm05Yg9Qgbi0jpQZ.html?page=3&pos=5&cur_pos=5&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=48,"To let pack out two bedroom flat at peace estate baruwa with personal prepaid meter,ensuit, wardrobes, kitchen cabinet 800k 150/150/100 no landlord. No discrimination. Please a responsible client with Good job is needed.",BARUWA,,"225
     
      sqm",Fairly Used,Semi-Furnished,Block of Flats,2 bedrooms,2 bathrooms,,,,,,,,,,,,,
"3bdrm Block of Flats in Off Freedom Way, Lekki Phase 1 for rent", 5000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/3bdrm-block-of-flats-in-off-freedom-way-lekki-phase-1-for-rent-lcIBxgAnBHL2EOr5McDrKDMZ.html?page=3&pos=8&cur_pos=8&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=51,"4 units of large and spacious newly renovated 3 bedroom flat all ensuite for rent off Freedom way, Lekki Phase 1
(Can be used as shortlet/shared/office space)
Rent 5m
Service charge 1m
Power (inclusive of Diesel) 150k monthly. 
Agency 10%
Legal 10%
Caution 200k
Service charge covers:
● General maintenance 
● Cleaning of common areas 
● Security 
● Waste disposal 
●Generator maintenance 
● Treated water 
● Sewage disposal",Off freedom way,Off freedom way,"600
     
      sqm",Renovated,Semi-Furnished,Block of Flats,3 bedrooms,3 bathrooms,1000000,"General maintenance, cleaning of common areas, security, waste disposal, generator maintenance, water treatment, sewage disposal.",500000,500000,200000,1200000,,,,,,,
"2bdrm House in Kajola, Agric for rent", 400000,"Ikorodu, Agric",https://jiji.ng/agric/houses-apartments-for-rent/2bdrm-house-in-kajola-agric-for-rent-gbnceZEjdKXmfyS4V5j1U0FS.html?page=3&pos=11&cur_pos=11&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=54,From agric to igboolomu road drop at phychatric junction take bike to kajola,Igboolomu road phychatric junction,Kajola,"120
     
      sqm",Newly-Built,Semi-Furnished,House,2 bedrooms,3 bathrooms,5000,2,50000,100000,50000,200000,Semi-Detached,,,,,,
1bdrm Bedsitter in Akoka for rent, 550000,"Yaba, Akoka",https://jiji.ng/akoka/houses-apartments-for-rent/1bdrm-bedsitter-in-akoka-for-rent-rmoQxcPMcxzHTzTzD6hPVJPH.html?page=3&pos=13&cur_pos=13&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=56,"*To Let In Akoka*
A Decent Roomself Contained Upstairs at Chemist, Akoka, Lagos 
Rent: 550k Per Annum",Akoka,Akoka,"300
     
      sqm",Newly-Built,Semi-Furnished,Bedsitter,1 bedroom,1 bathroom,,,,,,,,,,,,,
"Furnished 2bdrm House in Charity Estate, Agric for rent", 500000,"Ikorodu, Agric",https://jiji.ng/agric/houses-apartments-for-rent/furnished-2bdrm-house-in-charity-estate-agric-for-rent-ypL0UpT8Uk1bgT61HBPedKbP.html?page=3&pos=18&cur_pos=18&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=61,From agric to igboolomu road drop at psychiatric junction walk in to charity Estate,igboolomu road phychatric junction,charity Estate,"120
     
      sqm",Newly-Built,Furnished,House,2 bedrooms,2 bathrooms,5000,2,,,,,,,,,,,
"1bdrm Bungalow in Charity Estate, Agric for rent", 200000,"Ikorodu, Agric",https://jiji.ng/agric/houses-apartments-for-rent/1bdrm-bungalow-in-charity-estate-agric-for-rent-w5MIbw8HjxCC37Agix9m2edc.html?page=3&pos=21&cur_pos=21&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=64,From ageic straight bus going to igboolomu road drop at phychatric junction ask of charity estate street 5,Igboolomu road phychatric junction,Charity estate igboolomu road,"120
     
      sqm",Newly-Built,Unfurnished,Bungalow,1 bedroom,1 bathroom,3000,2,40000,80000,20000,140000,Semi-Detached,,,,,,
2bdrm Apartment in Ikoyi for rent, 9000000,"Ikoyi, Old Ikoyi",https://jiji.ng/old-ikoyi/houses-apartments-for-rent/2bdrm-apartment-in-ikoyi-for-rent-yTkRBsRaFPkoYCT7KB4sAOLq.html?page=4&pos=1&cur_pos=1&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=67,"*to let*
lovely 2bedroom flat with modern fully fitted open plan kitcken is available for letting in ikoyi.
rent: net
sc:
agency: 10%
legal: 10%
caution: 10%
diesel deposit: 
jb",Ikoyi,Ikoyi,"500
     
      sqm",Fairly Used,Semi-Furnished,Apartment,2 bedrooms,2 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in GRA Phase 2 Shangisha for rent, 8000000,"Magodo, GRA Phase 2 Shangisha",https://jiji.ng/gra-phase-2/houses-apartments-for-rent/4bdrm-duplex-in-gra-phase-2-shangisha-for-rent-aMJih7NuN7T7Os7cJyxXTwfc.html?page=4&pos=4&cur_pos=4&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=70,"Magodo phase 2 gra property to let 
description: tastefully relatively new 4 bedroom detached duplex with in a serene environment magodo phase 2 gra 
= 
location: magodo phase 2 gra
= ≠= 
rent: 8m
ms",Magodo phase 2,,"800
     
      sqm",Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
"Furnished 5bdrm Duplex in Palace Rd,Estate, Victoria Island for rent", 20000000,Victoria Island,https://jiji.ng/victoria-island/houses-apartments-for-rent/furnished-5bdrm-duplex-in-palace-rd-estate-victoria-island-for-rent-uQTnF9QZ8FXZFnNZ7PPrLdGx.html?page=4&pos=7&cur_pos=7&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=73,"Newly buit five bedrooms duplex,fully pop,modern building,self compound,standard living,water heater,kitchen cabinets,generator,swimming pool,",Oniru,"Palace rd,estate","600
     
      sqm",Newly-Built,Furnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,
2bdrm Apartment in Chevron for rent, 3300000,"Lekki, Chevron",https://jiji.ng/chevron/houses-apartments-for-rent/2bdrm-apartment-in-chevron-for-rent-2VC2Zuv7CEKJi8g1FiULfDDL.html?page=4&pos=11&cur_pos=11&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=77,"Fully serviced 2 bedroom apartment for rent at conservation road lekki.rent 3.3, service charge 800k,caution 200k, agency and legal 10% each",located at lekki conservation road,,"600
     
      sqm",Newly-Built,Unfurnished,Apartment,2 bedrooms,2 bathrooms,800000,,330000,330000,200000,860000,,,,,,,
2bdrm Apartment in Magodo Phase 1 for rent, 1000000,Magodo,https://jiji.ng/magodo/houses-apartments-for-rent/2bdrm-apartment-in-magodo-phase-1-for-rent-tvfimT8lmUoXYBMS677ttjHL.html?page=4&pos=14&cur_pos=14&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=80,"A renovated/ well maintained 2 bedrooms apartment. It's a high grade and a high standard 2 bedrooms apartment. This apartment, are all rooms en-suite. It has water supply with a very beautiful 3d wall pappers. This 2 bedrooms, is specious, tastefully built and well structured. The exterior of the property it self, that's the compound, is very specious/ large. It can contain about 12 to 15 capacity of vehicles. This apartment, has front view entrance which is through the palour and back view exit which is through the kitchen. It's fened with gate. It has sepeerate prepaid metres.",Magodo phase 1 GRA,Magodo phase 1,"750
     
      sqm",Renovated,Semi-Furnished,Apartment,2 bedrooms,3 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Lekki Phase 1 for rent, 15000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/4bdrm-duplex-in-lekki-phase-1-for-rent-6q3X4Ep1HkNeunDuVWLuz0l9.html?page=4&pos=16&cur_pos=16&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=82,"Newly built 4bedroom terrace duplex + BQ
Location: Lekki phase 1 Oniru axis
Rent: 15m
ALC: 10% each",Lekki phase 1 oniru axis,,"500
     
      sqm",Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
3bdrm Block of Flats in Victoria Island for rent, 15000000,Victoria Island,https://jiji.ng/victoria-island/houses-apartments-for-rent/3bdrm-block-of-flats-in-victoria-island-for-rent-zMoiPjE0a8tGZgC1GL1KsKva.html?page=4&pos=19&cur_pos=19&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=85,"Newly built Luxury 3 bedroom Apartment 
Location -  Victoria Island.
Rent - 15M
Sc - 1.5M
Agency - 10%
Legal - 10%
Refundable caution 5%",Victoria  Island,Victoria Island,"2000
     
      sqm",Newly-Built,Unfurnished,Block of Flats,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
3bdrm Penthouse in Ikoyi for rent, 16000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/3bdrm-penthouse-in-ikoyi-for-rent-aJH0j7wEaub0cxhmjw9U3BRf.html?page=4&pos=23&cur_pos=23&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=89,"3 BEDROOM PENTHOUSE FOR RENT
Location: Ikoyi Lagos
Price:
Agency:10%
Legal 
Caution:
Service charge :
Diesel Deposit : 
Total package:
Features:.
All room ensuite.
 Fully fitted kitchen. 
Swimming pool
Elevator 
Gym
BQ
24hours Electricity 
24 hours security 
Open plan kitchen .
Service estate 
Contact070XXXXXXXX",Ikoyi,,"800
     
      sqm",Newly-Built,Unfurnished,Penthouse,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
"3bdrm Apartment in H Tower Estate, Adeola Odeku for rent", 15000000,"Victoria Island, Adeola Odeku",https://jiji.ng/adeola-odeku/houses-apartments-for-rent/3bdrm-apartment-in-h-tower-estate-adeola-odeku-for-rent-3NAKA6M45fXUwOwdFEnpNTsv.html?page=5&pos=3&cur_pos=3&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=92,"TO LET
Luxury, secure,serene and very elaborate three bedroom apartment with state of the art finishing, swimming pool is available for rent at Victoria Island,Lagos.
Agency fees: 10%
Caution: 10%
Legal fees: 10%
Perfect for diasporans and well paying execs.
Samata",Off Adeola Odeku,H Tower Estate,"600
     
      sqm",Newly-Built,Semi-Furnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Ikota for rent, 8000000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-for-rent-cq2hVIu96x0o1QZmiBCfsXMk.html?page=5&pos=7&cur_pos=7&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=96,"Location: Ikota villa Estate
RENT : 8M (Strictly 2years upfront)
Agency: 10%
Legal : 10%
Caution : 10%
Total: 20,000,000",Ikota villa,Ikota,"300
     
      sqm",Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,10,10,10,30,,,,,,,
4bdrm Apartment in Banana Island for rent, 25000000,"Ikoyi, Banana Island",https://jiji.ng/banana-island/houses-apartments-for-rent/4bdrm-apartment-in-banana-island-for-rent-964gL9LUSi8KPJVAZa48pm5K.html?page=5&pos=9&cur_pos=9&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=98,"FOR RENT!!
4Bedroom Apartment With Bq
Location: Banana Island Road,Ikoyi,Lagos 
RENT : 25 Million Niara
Agency: 10%
Legal : 10%
Caution : 2million 
Service charge/Power deposit: 5m/annum
 Features:
- 24hrs Power
- All Rooms Ensuite
- Fitted Kitchen
- Fully Furnished 
- Pop Ceiling
- Water Heater
- Gym
 - Swimming Pool
- Elevator 
- Water Treatment 
- Walking Shower
- 24 Hours Security","Banana Island, Ikoyi, Lagos State.",,"900
     
      sqm",Newly-Built,Semi-Furnished,Apartment,4 bedrooms,4 bathrooms,5000000,"Services charge, and power charge.",2500000,2500000,2000000,7000000,,,,,,,
4bdrm Townhouse / Terrace in Lekki for rent, 3500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-lekki-for-rent-uWAtOtgkmvsORYtShDtS15rq.html?page=5&pos=12&cur_pos=12&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=101,"4 BEDROOM TERRACE DUPLEX FOR RENT! 
Location: Vgc, Lagos
Rent: 3m per annum
Other charges:
- Agency 10%
- Legal. 10%
- Caution 250k
- Total package : N3,895,000
- Service charge : 50k monthly
Features
- 24 Hours Security
- 20 Hours Electricity
- All Rooms Ensuite
- Fully Fitted Kitchen
- Pop Ceiling
- Water Heater
- Walk-in-Shower
- Interlocked Floor
- Serviced",VGC Lekki,,"1500
     
      sqm",Newly-Built,Unfurnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Leon Homes, Chevron for rent", 4500000,"Lekki, Chevron",https://jiji.ng/chevron/houses-apartments-for-rent/4bdrm-duplex-in-leon-homes-chevron-for-rent-pBmdjmtGJNiGPY6E8goN1vT3.html?page=5&pos=16&cur_pos=16&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=105,"4 bedroom terrace for rent in a serene environment at lekki chevron drive.
24/7 light.
Security
Nice apartment",Tulip Haven estate 5 chevron drive lekki,Leon homes,"400
     
      sqm",Fairly Used,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,450000,450000,400000,1300000,,,,,,,
"4bdrm Townhouse / Terrace in Orchid Road, Lekki for rent", 4500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-orchid-road-lekki-for-rent-92WcpdnloThVny2oz9LmPqSY.html?page=5&pos=19&cur_pos=19&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=108,"To let !! 4 bedroom terrace detached duplex for rent!!
location :  orchid, lekki lagos 
rent : n4.5m per annum 
other changes :
agency 10%
legal. 10%
caution: 10%
service charge: 50k ( monthly)",Orchid road,"Orchid road, Lekki","2000
     
      sqm",Newly-Built,Unfurnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,50000,50k monthly,450000,450000,450000,1350000,Semi-Detached,,,,,,
Furnished 4bdrm Duplex in Lekki Phase 1 for rent, 25000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/furnished-4bdrm-duplex-in-lekki-phase-1-for-rent-BiOuHA3G8XqD8kmJQoUN64JI.html?page=5&pos=22&cur_pos=22&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=111,"2) To let Fully Furnished Luxury 4 Bedroom Penthouse Duplex
 Beside Nike Art Gallery, Lekki Phase 1.
Rent: 25M (per annum)
20M (2 years)
Service charge: 2M
Caution: 5M
Agency: 10%
Legal: 10%","LEKKI PHASE 1,",LEKKI PHASE 1,"600
     
      sqm",Newly-Built,Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
4bdrm Apartment in Macdonald Court for rent, 15000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/4bdrm-apartment-in-macdonald-court-for-rent-rH7aq1da5q4YPtgHVNzOMG8D.html?page=6&pos=2&cur_pos=2&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=114,"Fully serviced spacious 4bedrooms apartment with swimming pool, tennis court & children playground for rent
- 
*note:* for expatriate or corporate client.
location: macdonald court ikoyi lagos

 features:
- children playground
- tennis court
- swimming pool
- fitted kitchen
- 24 hours electricity 
- 24 hours security
- all rooms ensuite
- fitted kitchen
- interlock floor
- pop ceiling
- water heater
- family lounge
- water treatment
 for more information call whatsapp
uwe
yunusa",Macdonald Court Ikoyi Lagos,Macdonald Court Ikoyi,"1000
     
      sqm",Fairly Used,Semi-Furnished,Apartment,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
